className,eventId,traceLevel,nwFunction,networkElement1,networkElement2,messageDirection,
com.ericsson.pm_event.CuCpX2SgnbReleaseConfirmOuterClass$CuCpX2SgnbReleaseConfirm,3083,UE,PM_EVENT_MESSAGE_GROUP_CUCP,ENODEB,RC,1,
com.ericsson.pm_event.CuCpX2SgnbModificationRequiredOuterClass$CuCpX2SgnbModificationRequired,3077,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,1,
com.ericsson.pm_event.CuCpX2SgnbModificationRequestOuterClass$CuCpX2SgnbModificationRequest,3051,UE,PM_EVENT_MESSAGE_GROUP_CUCP,ENODEB,RC,,
com.ericsson.pm_event.CuCpX2SgnbAdditionRequestAcknowledgeOuterClass$CuCpX2SgnbAdditionRequestAcknowledge,3068,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,1,
com.ericsson.pm_event.CuCpX2SgnbAdditionRequestOuterClass$CuCpX2SgnbAdditionRequest,3067,UE,PM_EVENT_MESSAGE_GROUP_CUCP,ENODEB,RC,1,
com.ericsson.pm_event.CuCpX2RrcTransferOuterClass$CuCpX2RrcTransfer,3054,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,TARGET_GNODEB,1,
com.ericsson.pm_event.CuCpRrcUeCapabilityInformationOuterClass$CuCpRrcUeCapabilityInformation,3040,UE,PM_EVENT_MESSAGE_GROUP_CUCP,UE,RC,1,
com.ericsson.pm_event.CuCpRrcReconfigurationOuterClass$CuCpRrcReconfiguration,3019,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,1,
com.ericsson.pm_event.CuCpRrcMeasurementReportOuterClass$CuCpRrcMeasurementReport,3005,UE,PM_EVENT_MESSAGE_GROUP_CUCP,UE,RC,1,
com.ericsson.pm_event.CuCpPerUeMdtReportOuterClass$CuCpPerUeMdtReport,3230,UE,PM_EVENT_MESSAGE_GROUP_CUCP,UE,RC,1,
